dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,regime,pos_dir,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-01-03 10:00:00,279.54,106.86,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:05:00,278.4,106.89,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:10:00,278.4,106.92,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:15:00,278.31,106.94,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:20:00,277.8,106.95,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:25:00,276.89,106.97,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:30:00,277.47,106.91,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:35:00,277.48,106.91,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:40:00,276.87,106.91,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:45:00,276.07,106.91,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:50:00,275.52,106.91,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:55:00,275.8,106.91,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:00:00,275.11,106.9,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:05:00,274.68,106.89,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:10:00,275.02,106.89,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:15:00,275.15,106.89,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:20:00,275.27,106.88,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:25:00,275.22,106.88,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:30:00,274.9,106.88,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:35:00,275.75,106.87,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:40:00,275.4,106.86,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:45:00,275.59,106.86,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:50:00,275.38,106.86,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:55:00,275.13,106.85,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 12:00:00,274.38,106.85,-4.945804730432541,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
